"YEAR","PROJECT_CODE","EVENT_ID","STATION_ID","GEAR_PERFORMANCE_CODE","USED_IN_ESTIMATE","STATION_TYPE_CODE","TOW_LENGTH_DESIGNATED","CATCH_WEIGHT"
"1991","T04","1991T04009","15","01","YES","Standard",1.030000,2315.135456
"1991","T04","1991T04010","14","01","YES","Standard",0.980000,1292.738254
"1991","T04","1991T04011","5","01","YES","Standard",1.030000,483.529466
"1991","T04","1991T04012","7","01","YES","Standard",1.050000,1251.007756
"1991","T04","1991T04013","13","01","YES","Standard",1.040000,713.954390
"1991","T04","1991T04014","18","01","NO","Standard",1.020000,1251.914941
"1991","T04","1991T04015","17","01","NO","Standard",1.010000,1810.740741
"1991","T04","1991T04016","12","01","YES","Standard",1.040000,1803.029670
"1991","T04","1991T04017","11","01","YES","Standard",1.020000,848.217731
"1991","T04","1991T04018","10","01","YES","Standard",1.040000,645.008350
"1991","T04","1991T04019","8","01","YES","Standard",1.000000,744.798671
"1991","T04","1991T04020","9","01","YES","Standard",0.990000,831.888406
"1991","T05","1991T05001","46","01","YES","Standard",1.020000,252.197357
"1991","T05","1991T05002","54","01","YES","Standard",1.050000,842.774623
"1991","T05","1991T05003","64","01","YES","Standard",0.970000,523.445594
"1991","T05","1991T05004","67","01","YES","Standard",1.020000,550.661137
"1991","T05","1991T05005","68","01","YES","Standard",1.060000,416.397795
"1991","T05","1991T05006","69","01","NO","Standard",0.910000,655.894567
"1991","T05","1991T05007","66","20","NO","Standard",0.740000,311.164365
"1991","T05","1991T05008","60","01","YES","Standard",1.050000,768.385474
"1991","T05","1991T05009","61","01","YES","Standard",0.530000,214.095598
"1991","T05","1991T05010","62","01","NO","Standard",1.000000,1036.004973
"1991","T05","1991T05011","57","01","YES","Standard",0.410000,345.637385
"1991","T05","1991T05012","70","01","NO","Standard",1.020000,277.598530
"1991","T05","1991T05013","58","01","YES","Standard",1.020000,3612.863227
"1991","T05","1991T05014","59","01","YES","Standard",1.030000,624.143101
"1991","T05","1991T05015","55","01","YES","Standard",0.770000,340.194277
"1991","T05","1991T05016","56","01","YES","Standard",1.040000,1060.498961
"1991","T05","1991T05017","53","01","YES","Standard",1.050000,289.391932
"1991","T05","1991T05018","44","01","YES","Standard",1.000000,387.367883
"1991","T05","1991T05019","45","01","YES","Standard",1.030000,840.053069
"1991","T05","1991T05020","51","01","YES","Standard",0.990000,1941.375343
"1991","T05","1991T05021","52","01","YES","Standard",1.040000,1774.453351
"1991","T06","1991T06001","24","01","YES","Standard",1.060000,1314.510688
"1991","T06","1991T06002","23","01","YES","Standard",1.010000,458.128293
"1991","T06","1991T06003","21","01","YES","Standard",1.030000,780.178876
"1991","T06","1991T06004","18","01","YES","Standard",1.030000,899.927262
"1991","T06","1991T06005","14","01","YES","Standard",1.040000,925.328434
"1991","T06","1991T06006","AB19","01","NO","Standard",1.050000,425.469643
"1991","T06","1991T06007","AD19","01","NO","Standard",1.040000,504.394715
"1991","T06","1991T06008","AF19","01","NO","Standard",1.030000,599.649113
"1991","T06","1991T06009","AI19","01","NO","Standard",1.060000,825.538113
"1991","T06","1991T06010","AM19","01","NO","Standard",1.040000,684.924478
"1991","T06","1991T06011","AQ19","01","NO","Standard",1.040000,224.981815
"1991","T06","1991T06012","AS20","01","NO","Standard",1.030000,476.271988
"1991","T06","1991T06013","AO20","01","NO","Standard",1.010000,426.376827
"1991","T06","1991T06014","111","01","YES","Standard",1.040000,390.089438
"1991","T06","1991T06015","112","01","YES","Standard",1.010000,259.454835
"1991","T06","1991T06016","109","01","YES","Standard",1.040000,263.990759
"1991","T06","1991T06017","110","01","YES","Standard",1.030000,279.412899
"1991","T06","1991T06018","105","01","YES","Standard",1.050000,2597.269910
"1991","T06","1991T06019","104","01","YES","Standard",1.080000,2649.886625
"1991","T06","1991T06020","103","01","YES","Standard",1.030000,541.589289
"1991","T06","1991T06021","102","01","YES","Standard",0.920000,220.445891
"1991","T06","1991T06022","108","01","YES","Standard",1.020000,439.984598
"1991","T06","1991T06023","107","01","YES","Standard",1.000000,262.629982
"1991","T06","1991T06024","101","01","YES","Standard",1.020000,520.724040
"1991","T06","1991T06025","106","01","YES","Standard",0.630000,60.781377
"1991","T06","1991T06026","15","01","YES","Standard",1.030000,858.196764
"1991","T06","1991T06027","11","01","YES","Standard",1.020000,327.493691
"1991","T06","1991T06028","Q14","01","NO","Standard",1.030000,330.215245
"1991","T06","1991T06029","1","01","YES","Standard",1.040000,310.257181
"1991","T06","1991T06030","16","01","YES","Standard",1.000000,465.385771
"1991","T06","1991T06031","7","01","YES","Standard",1.000000,442.706153
"1991","T06","1991T06032","4","01","YES","Standard",1.030000,311.617958
"1991","T06","1991T06033","3","01","YES","Standard",1.020000,438.170229
"1991","T06","1991T06034","8","01","YES","Standard",1.060000,349.266124
"1991","T06","1991T06035","2","01","YES","Standard",1.020000,320.236213
"1991","T06","1991T06036","10","01","YES","Standard",0.990000,383.739145
"1991","T06","1991T06037","R13","01","NO","Standard",1.050000,179.622578
"1991","T06","1991T06038","R14","01","NO","Standard",1.020000,613.256884
"1991","T06","1991T06039","R15","01","NO","Standard",1.020000,263.083574
"1991","T06","1991T06040","26","01","YES","Standard",1.040000,281.227269
"1991","T06","1991T06041","17","01","YES","Standard",1.030000,357.430787
"1991","T06","1991T06042","R17","01","NO","Standard",1.030000,571.526386
"1991","T06","1991T06043","R18","01","NO","Standard",1.040000,660.430490
"1992","T04","1992T04001","5","01","YES","Standard",0.950000,695.810695
"1992","T04","1992T04002","2","01","YES","Standard",1.000000,645.008350
"1992","T04","1992T04003","1","01","YES","Standard",1.050000,610.535330
"1992","T04","1992T04004","4","01","YES","Standard",0.980000,680.388555
"1992","T04","1992T04005","3","01","YES","Standard",1.000000,458.128293
"1992","T04","1992T04006","6","01","YES","Standard",0.980000,1151.217435
"1992","T04","1992T04007","7","01","YES","Standard",1.000000,1352.612447
"1992","T04","1992T04008","8","01","YES","Standard",0.990000,1569.429600
"1992","T04","1992T04009","9","01","YES","Standard",1.010000,1061.406145
"1992","T04","1992T04010","10","01","YES","Standard",1.000000,837.331515
"1992","T04","1992T04011","12","01","YES","Standard",1.010000,492.601313
"1992","T04","1992T04012","11","01","YES","Standard",0.970000,957.987085
"1992","T04","1992T04013","14","01","YES","Standard",1.010000,1892.387367
"1992","T04","1992T04014","15","01","YES","Standard",1.000000,1016.500501
"1992","T04","1992T04015","18","01","NO","Standard",1.020000,723.933422
"1992","T04","1992T04016","13","01","YES","Standard",1.040000,950.729607
"1992","T04","1992T04017","17","01","NO","Standard",1.030000,1443.330921
"1992","T04","1992T04018","20","01","NO","Standard",1.040000,1048.705559
"1992","T05","1992T05001","34","01","YES","Standard",1.000000,224.981815
"1992","T05","1992T05002","31","01","NO","Standard",1.030000,183.251317
"1992","T05","1992T05003","27","01","YES","Standard",1.010000,315.700289
"1992","T05","1992T05004","28","01","YES","Standard",0.900000,440.891783
"1992","T05","1992T05005","29","01","YES","Standard",0.990000,171.457915
"1992","T05","1992T05006","33","01","YES","Standard",0.970000,260.362020
"1992","T05","1992T05007","32","01","YES","Standard",1.010000,250.382988
"1992","T05","1992T05008","36","01","NO","Standard",1.000000,161.478883
"1992","T05","1992T05009","37","01","YES","Standard",1.010000,599.649113
"1992","T05","1992T05010","38","01","YES","Standard",0.980000,195.951903
"1992","T05","1992T05011","44","01","YES","Standard",0.660000,171.457915
"1992","T05","1992T05012","45","01","YES","Standard",0.980000,449.056446
"1992","T05","1992T05013","46","20","NO","Standard",0.150000,
"1992","T05","1992T05014","52","01","YES","Standard",1.070000,497.137237
"1992","T05","1992T05015","51","01","YES","Standard",0.990000,1278.223298
"1992","T05","1992T05016","471","01","YES","Standard",1.040000,344.730201
"1992","T05","1992T05017","48","01","YES","Standard",0.990000,231.332108
"1992","T05","1992T05018","49","01","YES","Standard",1.000000,154.221405
"1992","T05","1992T05019","50","01","YES","Standard",0.980000,150.592666
"1992","T05","1992T05020","59","20","NO","Replicate",0.400000,136.077711
"1992","T05","1992T05021","58","01","YES","Standard",1.030000,329.308060
"1992","T05","1992T05022","53","01","YES","Standard",0.980000,399.161285
"1992","T05","1992T05023","52","01","NO","Standard",1.000000,1419.744118
"1992","T05","1992T05024","51","01","NO","Standard",1.030000,1737.258777
"1992","T05","1992T05025","56","01","YES","Standard",1.000000,1503.205114
"1992","T05","1992T05026","61","01","YES","Standard",1.000000,1285.480776
"1992","T05","1992T05027","60","01","YES","Standard",1.030000,818.280635
"1992","T05","1992T05028","64","01","YES","Standard",1.030000,320.236213
"1992","T05","1992T05029","67","01","YES","Standard",1.030000,546.125213
"1992","T05","1992T05030","55","01","YES","Standard",1.000000,690.367587
"1992","T05","1992T05031","54","01","YES","Standard",0.960000,264.897944
"1992","T05","1992T05032","58","01","NO","Standard",1.040000,674.038261
"1992","T05","1992T05033","53","01","NO","Standard",1.050000,922.606880
"1992","T05","1992T05034","48","01","NO","Standard",1.100000,244.939879
"1992","T06","1992T06001","112","01","YES","Standard",1.050000,378.296036
"1992","T06","1992T06002","111","01","YES","Standard",1.000000,444.520522
"1992","T06","1992T06003","105","01","YES","Standard",0.960000,945.740091
"1992","T06","1992T06004","104","01","YES","Standard",1.000000,1548.564351
"1992","T06","1992T06005","108","01","YES","Standard",1.030000,529.795888
"1992","T06","1992T06006","103","01","YES","Standard",1.010000,501.673161
"1992","T06","1992T06007","107","01","YES","Standard",1.020000,315.700289
"1992","T06","1992T06008","102","01","YES","Standard",0.480000,191.415980
"1992","T06","1992T06009","101","01","YES","Standard",0.990000,276.691345
"1992","T06","1992T06010","106","01","YES","Standard",1.020000,96.161582
"1992","T06","1992T06011","109","01","YES","Standard",1.060000,212.281229
"1992","T06","1992T06012","110","01","YES","Standard",1.040000,439.077414
"1992","T06","1992T06013","3","01","YES","Standard",1.030000,520.724040
"1992","T06","1992T06014","4","01","YES","Standard",1.050000,282.134454
"1992","T06","1992T06015","306","01","NO","Standard",1.000000,535.238996
"1992","T06","1992T06016","301","01","NO","Standard",1.020000,145.149558
"1992","T06","1992T06017","303","01","NO","Standard",1.040000,572.433570
"1992","T06","1992T06018","308","01","NO","Standard",1.070000,408.233133
"1992","T06","1992T06019","8","01","YES","Standard",1.080000,419.572942
"1992","T06","1992T06020","2","01","YES","Standard",1.050000,590.577265
"1992","T06","1992T06021","7","01","YES","Standard",1.050000,519.363263
"1992","T06","1992T06022","6","01","YES","Standard",1.030000,219.992299
"1995","T04","1995T04013","14","01","YES","Standard",0.500000,1705.507311
"1995","T04","1995T04014","8","01","YES","Standard",1.020000,1359.869925
"1995","T04","1995T04015","13","01","YES","Standard",1.030000,1040.540896
"1995","T04","1995T04016","15","01","YES","Standard",1.000000,1519.534439
"1995","T04","1995T04017","18","01","NO","Standard",1.070000,384.646329
"1995","T04","1995T04018","21","01","NO","Standard",1.080000,203.209381
"1995","T04","1995T04019","20","01","NO","Standard",1.020000,862.732687
"1995","T04","1995T04020","17","01","NO","Standard",1.100000,907.184740
"1995","T05","1995T05001","28","01","YES","Standard",0.980000,300.731741
"1995","T05","1995T05002","33","01","YES","Standard",1.000000,405.511578
"1995","T05","1995T05003","32","01","YES","Standard",1.000000,298.463779
"1995","T05","1995T05004","34","01","YES","Standard",1.100000,344.730201
"1995","T05","1995T05005","38","01","YES","Standard",1.010000,386.460699
"1995","T05","1995T05006","37","01","YES","Standard",1.000000,365.595450
"1995","T05","1995T05007","45","01","YES","Standard",1.080000,406.418763
"1995","T05","1995T05008","44","01","YES","Standard",0.900000,544.310844
"1995","T05","1995T05009","50","01","YES","Standard",0.970000,361.059526
"1995","T05","1995T05010","51","01","YES","Standard",0.820000,424.562458
"1992","T06","1992T06023","26","01","YES","Standard",1.050000,387.821476
"1992","T06","1992T06024","28","01","YES","Standard",1.100000,700.346619
"1992","T06","1992T06025","1","01","YES","Standard",1.040000,546.125213
"1992","T06","1992T06026","5","01","YES","Standard",1.030000,585.134157
"1992","T06","1992T06027","9","01","YES","Standard",1.040000,629.586209
"1992","T06","1992T06028","10","01","YES","Standard",1.010000,449.963631
"1992","T06","1992T06029","14","01","YES","Standard",1.060000,745.705856
"1992","T06","1992T06030","13","01","YES","Standard",1.030000,826.898890
"1992","T06","1992T06031","15","01","YES","Standard",1.010000,475.364803
"1992","T06","1992T06032","11","01","YES","Standard",1.020000,505.755492
"1992","T06","1992T06033","12","01","YES","Standard",1.040000,226.342592
"1992","T06","1992T06034","17","01","YES","Standard",1.060000,198.219865
"1992","T06","1992T06035","16","01","YES","Standard",1.100000,547.032398
"1992","T06","1992T06036","19","01","YES","Standard",1.010000,331.122430
"1992","T06","1992T06037","18","01","YES","Standard",1.030000,654.987382
"1992","T06","1992T06038","23","01","YES","Standard",1.030000,708.057689
"1992","T06","1992T06039","22","01","YES","Standard",1.050000,612.803291
"1992","T06","1992T06040","20","01","YES","Standard",1.060000,269.433867
"1992","T06","1992T06041","21","01","YES","Standard",1.060000,619.153585
"1992","T06","1992T06042","Q22","01","NO","Standard",1.000000,311.164365
"1993","T04","1993T04001","5","01","YES","Standard",1.070000,422.748088
"1993","T04","1993T04002","1","01","YES","Standard",1.040000,667.687968
"1993","T04","1993T04003","2","01","YES","Standard",1.000000,498.044422
"1993","T04","1993T04004","4","01","YES","Standard",0.760000,900.834446
"1993","T04","1993T04005","3","01","YES","Standard",1.000000,492.601313
"1993","T04","1993T04006","6","01","YES","Standard",1.060000,982.481073
"1993","T04","1993T04007","71","01","YES","Standard",1.000000,635.029318
"1993","T04","1993T04008","8","01","YES","Standard",1.000000,762.942366
"1993","T04","1993T04009","9","01","YES","Standard",1.020000,1310.881949
"1993","T04","1993T04010","10","01","YES","Standard",1.020000,966.151748
"1993","T04","1993T04011","12","01","YES","Standard",0.990000,1060.498961
"1993","T04","1993T04012","14","01","YES","Standard",1.000000,2308.785163
"1993","T04","1993T04013","17","01","NO","Standard",1.020000,1434.259073
"1993","T04","1993T04014","7","01","YES","Standard",1.010000,1122.187523
"1993","T04","1993T04015","11","01","YES","Standard",1.000000,1129.445001
"1993","T04","1993T04016","20","01","NO","Standard",1.020000,1036.912157
"1993","T04","1993T04017","21","01","NO","Standard",1.020000,622.328731
"1993","T04","1993T04018","18","01","NO","Standard",1.010000,1213.813182
"1993","T04","1993T04019","15","01","YES","Standard",1.010000,1148.495880
"1993","T04","1993T04020","13","01","YES","Standard",1.060000,1197.483856
"1993","T05","1993T05001","58","01","YES","Standard",1.000000,297.556594
"1993","T05","1993T05002","59","01","YES","Standard",0.970000,401.429247
"1993","T05","1993T05003","60","01","YES","Standard",0.600000,56.699046
"1993","T05","1993T05004","53","01","YES","Standard",1.000000,453.592370
"1993","T05","1993T05005","471","01","YES","Standard",0.950000,347.451755
"1993","T05","1993T05006","31","01","NO","Standard",1.060000,355.616418
"1993","T05","1993T05007","32","01","YES","Standard",1.010000,321.143397
"1993","T05","1993T05008","51","01","YES","Standard",1.070000,1225.606583
"1993","T05","1993T05009","52","01","YES","Standard",1.060000,913.535033
"1993","T05","1993T05010","56","01","YES","Standard",1.000000,710.325651
"1993","T05","1993T05011","67","01","YES","Standard",0.960000,519.816856
"1993","T05","1993T05012","68","01","YES","Standard",1.000000,322.957767
"1993","T05","1993T05013","54","01","YES","Standard",0.880000,180.529763
"1993","T05","1993T05014","61","01","YES","Standard",1.000000,518.002486
"1993","T05","1993T05015","44","01","YES","Standard",0.960000,232.239293
"1993","T05","1993T05016","37","01","YES","Standard",1.000000,625.957470
"1993","T06","1993T06001","21","01","YES","Standard",1.040000,1026.479533
"1993","T06","1993T06002","18","01","YES","Standard",1.020000,700.346619
"1993","T06","1993T06003","14","01","YES","Standard",1.010000,581.505418
"1993","T06","1993T06004","13","01","YES","Standard",0.970000,703.975358
"1993","T06","1993T06005","15","01","YES","Standard",1.060000,496.230052
"1993","T06","1993T06006","105","01","YES","Standard",1.000000,914.442217
"1993","T06","1993T06007","AF11","01","NO","Standard",0.990000,963.430193
"1993","T06","1993T06008","AG10","01","NO","Standard",1.030000,716.675944
"1993","T06","1993T06009","AG4","01","NO","Standard",1.030000,872.711719
"1993","T06","1993T06010","AD4","01","NO","Standard",1.030000,928.957173
"1993","T06","1993T06011","AF5","01","NO","Standard",0.760000,904.463185
"1993","T06","1993T06012","104","01","YES","Standard",0.860000,1190.226378
"1993","T06","1993T06013","103","01","YES","Standard",1.030000,614.164068
"1993","T06","1993T06014","102","01","YES","Standard",1.060000,297.556594
"1993","T06","1993T06015","101","01","YES","Standard",0.890000,119.294793
"1993","T06","1993T06016","108","01","YES","Standard",1.020000,286.670377
"1993","T06","1993T06017","AI7","01","NO","Standard",0.990000,1014.232539
"1993","T06","1993T06018","AI6","01","NO","Standard",1.060000,153.314221
"1993","T06","1993T06019","AG2","01","NO","Standard",1.020000,522.538410
"1993","T06","1993T06020","AI2","01","NO","Standard",1.000000,324.772136
"1993","T06","1993T06021","AJ16","01","NO","Standard",1.000000,323.864952
"1993","T06","1993T06022","107","01","YES","Standard",1.030000,406.418763
"1993","T06","1993T06023","106","01","YES","Standard",1.020000,337.472723
"1993","T06","1993T06024","109","01","YES","Standard",1.060000,190.962387
"1993","T06","1993T06025","110","01","YES","Standard",1.040000,237.682401
"1993","T06","1993T06026","111","01","YES","Standard",1.030000,381.924775
"1993","T06","1993T06027","112","01","YES","Standard",1.030000,971.141264
"1993","T06","1993T06028","4","01","YES","Standard",1.040000,291.206301
"1993","T06","1993T06029","3","01","YES","Standard",1.030000,1014.232539
"1993","T06","1993T06030","2","01","YES","Standard",1.030000,780.178876
"1993","T06","1993T06031","8","01","YES","Standard",1.040000,339.287092
"1993","T06","1993T06032","7","01","YES","Standard",1.030000,419.119349
"1993","T06","1993T06033","6","01","YES","Standard",1.100000,615.071253
"1993","T06","1993T06034","5","01","YES","Standard",1.080000,363.781080
"1993","T06","1993T06035","1","01","YES","Standard",1.050000,939.843390
"1993","T06","1993T06036","25","01","YES","Standard",1.060000,417.304980
"1993","T06","1993T06037","27","01","YES","Standard",1.040000,361.059526
"1993","T06","1993T06038","11","01","YES","Standard",1.050000,299.370964
"1993","T06","1993T06039","16","01","YES","Standard",1.090000,390.089438
"1993","T06","1993T06040","9","01","YES","Standard",1.030000,318.421843
"1993","T06","1993T06041","10","01","YES","Standard",1.040000,376.481667
"1993","T06","1993T06042","12","01","YES","Standard",1.080000,353.802048
"1993","T06","1993T06043","17","01","YES","Standard",1.050000,254.918911
"1993","T06","1993T06044","19","01","YES","Standard",1.070000,269.433867
"1993","T06","1993T06045","20","01","YES","Standard",1.040000,631.400579
"1993","T06","1993T06046","22","01","YES","Standard",1.030000,511.652193
"1993","T06","1993T06047","23","01","YES","Standard",1.040000,358.337972
"1993","T06","1993T06048","24","01","YES","Standard",1.040000,1221.070660
"1994","T04","1994T04001","3","01","YES","Standard",1.100000,697.625065
"1994","T04","1994T04002","2","01","YES","Standard",1.070000,350.173309
"1994","T04","1994T04003","1","01","YES","Standard",1.040000,597.834743
"1994","T04","1994T04004","5","01","YES","Standard",1.000000,537.053366
"1994","T04","1994T04005","4","01","YES","Standard",1.040000,416.397795
"1994","T04","1994T04006","6","01","YES","Standard",1.000000,979.759519
"1994","T04","1994T04007","71","01","YES","Standard",1.010000,1482.339865
"1994","T04","1994T04008","8","01","YES","Standard",1.030000,596.927558
"1994","T04","1994T04009","9","01","YES","Standard",1.100000,1067.756438
"1994","T04","1994T04010","10","01","YES","Standard",1.030000,1198.391041
"1994","T04","1994T04011","11","01","YES","Standard",1.010000,1176.618607
"1994","T04","1994T04012","15","01","YES","Standard",1.000000,889.948229
"1994","T04","1994T04013","14","01","YES","Standard",1.030000,5896.700810
"1994","T04","1994T04014","12","01","YES","Standard",0.980000,1461.928208
"1994","T04","1994T04015","13","01","YES","Standard",1.000000,931.678727
"1994","T04","1994T04016","7","01","YES","Standard",1.020000,1163.010836
"1994","T04","1994T04017","18","01","NO","Standard",1.010000,844.588992
"1994","T04","1994T04018","21","01","NO","Standard",1.010000,978.852334
"1994","T04","1994T04019","20","01","NO","Standard",1.040000,912.627848
"1994","T04","1994T04020","17","01","NO","Standard",0.980000,1344.447784
"1994","T05","1994T05001","52","01","YES","Standard",0.510000,553.382691
"1994","T05","1994T05002","57","01","YES","Standard",0.960000,596.927558
"1994","T05","1994T05003","67","01","YES","Standard",1.060000,431.366343
"1994","T05","1994T05004","68","01","YES","Standard",1.000000,245.847064
"1994","T05","1994T05005","61","01","YES","Standard",1.010000,5443.108440
"1994","T05","1994T05006","58","01","YES","Standard",1.020000,1293.645439
"1994","T05","1994T05007","28","01","YES","Standard",1.000000,254.918911
"1994","T05","1994T05008","32","01","YES","Standard",1.090000,267.619498
"1994","T05","1994T05009","33","01","YES","Standard",1.040000,216.817152
"1994","T05","1994T05010","38","01","YES","Standard",1.020000,1238.307170
"1994","T05","1994T05011","37","01","YES","Standard",1.030000,371.945743
"1994","T05","1994T05012","44","01","YES","Standard",0.980000,620.514362
"1994","T05","1994T05013","53","01","YES","Standard",1.010000,763.849551
"1994","T05","1994T05014","471","01","YES","Standard",1.080000,374.667297
"1994","T05","1994T05015","56","01","YES","Standard",1.000000,453.592370
"1994","T05","1994T05016","51","01","YES","Standard",1.000000,725.747792
"1994","T05","1994T05017","45","01","YES","Standard",1.030000,226.796185
"1994","T06","1994T06001","26","01","YES","Standard",1.020000,255.826096
"1994","T06","1994T06002","28","01","YES","Standard",0.980000,406.418763
"1994","T06","1994T06003","1","01","YES","Standard",0.970000,975.223595
"1994","T06","1994T06004","5","01","YES","Standard",0.970000,324.772136
"1994","T06","1994T06005","6","01","YES","Standard",0.970000,172.365100
"1994","T06","1994T06006","7","01","YES","Standard",0.930000,320.236213
"1994","T06","1994T06007","9","01","YES","Standard",0.990000,336.565538
"1994","T06","1994T06008","13","01","YES","Standard",1.010000,874.526089
